"","new.id","tissue","x","y","rename_to","old.id"
"133.2","133.2","SP19_4061",0.51393104477612,37.620388358209,"","186.2"
"134","134","SP19_4061",0.353365531914893,38.367449787234,"","188"
"135","135","SP19_4061",0.0424185365853653,38.2474278048781,"","189"
"136","136","SP19_4061",0.530748712871286,38.2219546534653,"","190"
"137.1","137.1","SP19_4061",0.289108588235293,38.0245381176471,"","191 larger closer to 190"
"137.2","137.2","SP19_4061",0.301629705882352,37.8901405882353,"","191 smaller closer to 186.1"
"138","138","SP19_4061",0.61540834532374,38.8958864748201,"","193.1"
"139","139","SP19_4061",0.394748372093022,38.8398874418605,"","194"
"140","140","SP20_642",39.7405562701554,23.1841422641509,"","196"
"141","141","SP20_642",36.6612412836325,23.0775742857143,"","197.1"
"142_143","142_143","SP20_642",36.8434394936153,22.9558332530121,"","197.2"
"144","144","SP20_642",33.6473248550611,21.788105,"","201"
"145_146","145_146","SP20_642",31.4189397560512,25.790180990099,"","203"
"147","147","SP20_642",31.8029738550611,25.429069,"","204"
"148","148","SP20_1098",5.32268059701492,34.0511104477612,"","206"
"149","149","SP20_1098",5.62591155963302,33.9871376146789,"","207.1,207.2"
"150","150","SP20_1098",5.50397675675675,33.9354218918919,"","208.1,208.2"
"151_152","151_152","SP20_1098",4.81220830188679,33.7308826415094,"","209"
"153","153","SP20_1098",5.47832264900662,33.652559205298,"","210"
"154","154","SP20_1098",5.9308296,34.4616592,"","211"
"155","155","SP20_1098",6.253693,34.511314,"","212"
"156","156","SP20_1098",6.62920330275229,34.3786726605504,"","213"
"157","157","SP20_1098",6.15676786885246,34.0712721311475,"","214"
"158","158","SP20_1098",6.8897785,35.3337945,"","215"
"159","159","SP20_1098",7.26161255813953,34.961511627907,"","217"
"160","160","SP20_1098",7.63537762711864,34.984899661017,"","218"
"161","161","SP20_1098",7.91734432,35.94430096,"","220"
"162","162","SP20_1098",7.65238391304347,35.8143765217391,"","221"
"163","163","SP20_1098",7.3547059574468,35.7326991489362,"","222"
"164","164","SP20_1098",7.19003591836734,35.5144734693878,"","223"
"165","165","SP20_1098",8.4270587628866,36.222585257732,"","224"
"166","166","SP20_1098",9.02362,36.055285170068,"","225"
"167","167","SP20_1098",9.76284904522613,36.3793511557789,"","229"
"168","168","SP20_1098",9.366336,36.1917755789474,"","230"
"169","169","SP20_1098",10.6331317647059,36.8682282352941,"","231"
"170","170","SP20_1098",10.4930021719457,36.3576838914027,"","232"
"171","171","SP20_1098",11.6619812658228,36.5476030379747,"","234"
"172","172","SP20_1098",12.2943147368421,36.63765,"","236"
"173","173","SP20_1098",14.169132,37.205952,"","237"
"174","174","SP20_1098",14.3680605405405,36.8232810810811,"","238"
"175","175","SP20_1098",14.2884390825688,36.6589222018349,"","239"
"176","176","SP20_1098",13.0102035,39.732642,"","240"
"177","177","SP20_10838",20.4788978378378,38.9275610810811,"","new177"
"178","178","SP20_10838",20.6213430769231,38.9269215384615,"","243+242 lower 2/3"
"179","179","SP20_10838",20.3210866666667,38.9027533333333,"","new179"
"180","180","SP20_10838",19.9052545,38.7879935,"","246"
"181","181","SP20_10838",19.9255988732394,38.3720008450704,"","250"
"182","182","SP20_10838",19.41762,37.993964,"","251"
"183","183","SP20_10838",19.2680969387755,37.8214608163265,"","252.1"
"184","184","SP20_10838",19.1919119008264,37.4362856198347,"","256"
"185","185","SP20_10838",19.6059177358491,37.2414067924528,"","257.1"
"186","186","SP20_10838",19.630507394958,37.0039714285714,"","258"
"187","187","SP20_10838",19.4646482352941,36.9281188235294,"","259"
"188","188","SP20_10838",19.3494258064516,36.8811774193548,"","261"
"189","189","SP20_10838",18.8231987096774,36.8741574193548,"","260"
"190","190","SP20_10838",19.0402805586592,36.8058415642458,"","262"
"191.1_191.2","191.1_191.2","SP20_10838",19.4846152112676,36.7304645070423,"","263"
"192","192","SP20_10838",18.3733994642857,36.17547,"","265"
"193","193","SP20_10838",18.2891469565217,35.9451952173913,"","266"
"194","194","SP20_10838",18.7636481927711,35.4916903614458,"","268.2"
"195","195","SP20_10838",18.7647464516129,35.3425270967742,"","268.1"
"196","196","SP20_10838",18.2408903225806,35.2905264516129,"","269"
"197","197","SP20_10838",18.569052,35.177848,"","270"
"198","198","SP20_10838",18.3678685714286,35.0089685714286,"","272"
"199","199","SP20_10838",17.9216018181818,34.1894372727273,"","273"
"200","200","SP20_10838",18.3806615267176,34.1045051908397,"","274"
"201","201","SP20_10838",19.5934571428571,39.5808417857143,"","275.1"
"202","202","SP20_10838",19.4733744186047,39.5238865116279,"","275.2+275.3"
"203","203","SP20_10838",19.6655505263158,39.2649852631579,"","277"
"204","204","SP20_10838",19.2664735294118,39.1399747058824,"","278.1"
"205","205","SP20_10838",19.4207197014925,39.1062931343284,"","278.2"
